2001:2b8:ca::,2001:2b8:ca:ffff:ffff:ffff:ffff:ffff,42540543305021155704091476625180327936,42540543305022364629911091254355034111,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:cb::,2001:2b8:cb:ffff:ffff:ffff:ffff:ffff,42540543305022364629911091254355034112,42540543305023573555730705883529740287,"AS17832 Korea Internet Security Agency"
2001:2b8:cc::,2001:2b8:cc:ffff:ffff:ffff:ffff:ffff,42540543305023573555730705883529740288,42540543305024782481550320512704446463,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:cd::,2001:2b8:cd:ffff:ffff:ffff:ffff:ffff,42540543305024782481550320512704446464,42540543305025991407369935141879152639,"AS17832 Korea Internet Security Agency"
2001:2b8:ce::,2001:2b8:ce:ffff:ffff:ffff:ffff:ffff,42540543305025991407369935141879152640,42540543305027200333189549771053858815,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:cf::,2001:2b8:cf:ffff:ffff:ffff:ffff:ffff,42540543305027200333189549771053858816,42540543305028409259009164400228564991,"AS17832 Korea Internet Security Agency"
2001:2b8:d0::,2001:2b8:d0:ffff:ffff:ffff:ffff:ffff,42540543305028409259009164400228564992,42540543305029618184828779029403271167,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:d1::,2001:2b8:d1:ffff:ffff:ffff:ffff:ffff,42540543305029618184828779029403271168,42540543305030827110648393658577977343,"AS17832 Korea Internet Security Agency"
2001:2b8:d2::,2001:2b8:d2:ffff:ffff:ffff:ffff:ffff,42540543305030827110648393658577977344,42540543305032036036468008287752683519,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:d3::,2001:2b8:d3:ffff:ffff:ffff:ffff:ffff,42540543305032036036468008287752683520,42540543305033244962287622916927389695,"AS17832 Korea Internet Security Agency"
2001:2b8:d4::,2001:2b8:d4:ffff:ffff:ffff:ffff:ffff,42540543305033244962287622916927389696,42540543305034453888107237546102095871,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:d5::,2001:2b8:d5:ffff:ffff:ffff:ffff:ffff,42540543305034453888107237546102095872,42540543305035662813926852175276802047,"AS17832 Korea Internet Security Agency"
2001:2b8:d6::,2001:2b8:d6:ffff:ffff:ffff:ffff:ffff,42540543305035662813926852175276802048,42540543305036871739746466804451508223,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:d7::,2001:2b8:db:ffff:ffff:ffff:ffff:ffff,42540543305036871739746466804451508224,42540543305042916368844539950325039103,"AS17832 Korea Internet Security Agency"
2001:2b8:dc::,2001:2b8:dc:ffff:ffff:ffff:ffff:ffff,42540543305042916368844539950325039104,42540543305044125294664154579499745279,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:dd::,2001:2b8:e5:ffff:ffff:ffff:ffff:ffff,42540543305044125294664154579499745280,42540543305055005627040686242072100863,"AS17832 Korea Internet Security Agency"
2001:2b8:e6::,2001:2b8:e6:ffff:ffff:ffff:ffff:ffff,42540543305055005627040686242072100864,42540543305056214552860300871246807039,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:e7::,2001:2b8:ec:ffff:ffff:ffff:ffff:ffff,42540543305056214552860300871246807040,42540543305063468107777988646295044095,"AS17832 Korea Internet Security Agency"
2001:2b8:ed::,2001:2b8:ed:ffff:ffff:ffff:ffff:ffff,42540543305063468107777988646295044096,42540543305064677033597603275469750271,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:ee::,2001:2b8:ee:ffff:ffff:ffff:ffff:ffff,42540543305064677033597603275469750272,42540543305065885959417217904644456447,"AS17832 Korea Internet Security Agency"
2001:2b8:ef::,2001:2b8:ef:ffff:ffff:ffff:ffff:ffff,42540543305065885959417217904644456448,42540543305067094885236832533819162623,"AS1237 Korea Institute of Science and Technology Information"
2001:2b8:f0::,2001:2b8:37f:ffff:ffff:ffff:ffff:ffff,42540543305067094885236832533819162624,42540543305860150222904029272426414079,"AS17832 Korea Internet Security Agency"
2001:2b8:380::,2001:2b8:380:ffff:ffff:ffff:ffff:ffff,42540543305860150222904029272426414080,42540543305861359148723643901601120255,"AS1237 Korea Institute of Science and Technology Information"
